cc_num,amount,merch_lat,merch_long,atm_id,freq_date,average_date,total_date,freq_merc,average_merc,total_merc,freq_type,average_type,total_type,average_id,total_id,class
1394576916,254.1,42.907883,-72.940929,32042863,6,537.795,3226.77,1,254.1,254.1,19,64.60789474,1227.55,254.1,254.1,1
1394493823,121.21,41.569534,-73.867238,78797758,4,579.3725,2317.49,1,121.21,121.21,18,35.66333333,641.94,121.21,121.21,1
1394510394,1028.83,41.466674,-72.781364,51670689,6,537.795,3226.77,1,1028.83,1028.83,16,142.78375,2284.54,1028.83,1028.83,1
1394494298,346.65,42.290266,-73.051564,67666744,4,579.3725,2317.49,2,221.61,443.22,33,117.3560606,3872.75,346.65,346.65,1
1394578747,347.51,42.040475,-74.106317,8141057,6,537.795,3226.77,2,238.8,477.6,33,117.3560606,3872.75,347.51,347.51,1
1394578132,811.94,43.229808,-72.58022,58487266,6,537.795,3226.77,2,407.15,814.3,18,57.02166667,1026.39,811.94,811.94,1
1394409904,798.21,42.961127,-73.386261,85992320,4,579.3725,2317.49,1,798.21,798.21,9,258.27,2324.43,798.21,798.21,1
1394508033,762.16,41.942975,-73.789426,26420288,6,537.795,3226.77,1,762.16,762.16,9,258.27,2324.43,762.16,762.16,1
1394411963,1051.42,42.968515,-73.466657,53642639,4,579.3725,2317.49,1,1051.42,1051.42,16,142.78375,2284.54,1051.42,1051.42,1
1394501614,22.23,42.567259,-72.436381,80622734,6,537.795,3226.77,1,22.23,22.23,9,50.58222222,455.24,22.23,22.23,1
1415496296,6.62,41.892233,-72.785723,64694726,2,7.11,14.22,4,5.7275,22.91,26,7.476153846,194.38,6.62,6.62,2
1449784679,93.11,41.500822,-74.321414,82846282,1,93.11,93.11,1,93.11,93.11,37,59.31135135,2194.52,93.11,93.11,2
1391973270,9.55,42.726169,-73.593189,25559651,1,9.55,9.55,1,9.55,9.55,16,142.78375,2284.54,9.55,9.55,2
1341273046,8.98,42.114098,-72.63559,44660314,1,8.98,8.98,2,40.21,80.42,19,64.60789474,1227.55,8.98,8.98,2
1379796288,99.47,42.476004,-74.341043,24927468,1,99.47,99.47,1,99.47,99.47,33,117.3560606,3872.75,99.47,99.47,2
1378483263,64.71,41.726525,-73.137202,63677652,2,86.485,172.97,2,58.75,117.5,37,59.31135135,2194.52,64.71,64.71,2
1377341521,63,42.977136,-74.084259,7573675,4,58.1325,232.53,1,63,63,5,44.708,223.54,63,63,2
1415564675,7.6,42.552693,-72.91373,82989842,2,7.11,14.22,1,7.6,7.6,10,26.72,267.2,7.6,7.6,2
1400659402,54.88,41.485298,-72.710166,89757222,2,31.845,63.69,2,38.7,77.4,23,46.81608696,1076.77,54.88,54.88,2
1435301217,70.86,43.2927,-72.994506,70476651,1,70.86,70.86,2,36.815,73.63,9,50.58222222,455.24,70.86,70.86,2
1374665769,22.52,43.231197,-72.501445,99491260,1,22.52,22.52,2,38.7,77.4,23,46.81608696,1076.77,22.52,22.52,2
1417322297,1.93,42.677407,-74.034547,73417385,1,1.93,1.93,1,1.93,1.93,26,7.476153846,194.38,1.93,1.93,2
1418242187,95.94,41.940113,-74.327102,23581685,2,66.515,133.03,2,59.615,119.23,19,64.60789474,1227.55,95.94,95.94,2
1450290909,41.06,42.001707,-74.359264,91973504,1,41.06,41.06,3,55.6,166.8,37,59.31135135,2194.52,41.06,41.06,2
1386454826,61.84,43.332024,-72.686012,74229741,2,100.34,200.68,2,35.445,70.89,22,51.115,1124.53,61.84,61.84,2
1354963124,1.27,42.900716,-72.908925,25006209,1,1.27,1.27,4,5.7275,22.91,26,7.476153846,194.38,1.27,1.27,2
1386285212,117.1,43.18984,-72.762498,15465801,1,117.1,117.1,1,117.1,117.1,22,51.115,1124.53,117.1,117.1,2
1440505258,4.74,42.556439,-74.050204,93393898,1,4.74,4.74,1,4.74,4.74,22,51.115,1124.53,4.74,4.74,2
1386431146,138.84,41.514253,-73.820764,38118012,2,100.34,200.68,2,108.45,216.9,33,117.3560606,3872.75,138.84,138.84,2
1373538557,9.35,42.91626,-73.738818,75234997,1,9.35,9.35,1,9.35,9.35,26,7.476153846,194.38,9.35,9.35,2
1334832054,49.59,42.090094,-73.099826,78951129,1,49.59,49.59,2,67.94,135.88,9,50.58222222,455.24,49.59,49.59,2
1376748527,6.26,42.040763,-73.744874,45003677,2,4.185,8.37,2,5.35,10.7,18,35.66333333,641.94,6.26,6.26,2
1407605543,128.93,41.413242,-72.885482,51469054,1,128.93,128.93,1,128.93,128.93,18,35.66333333,641.94,128.93,128.93,2
